symptom_id,symptom_name,synonyms,source_count
sym_00293,neck stiffness or tightness,"[""neck stiffness or tightness""]",1
sym_00294,neck swelling,"[""neck swelling""]",2
sym_00295,neck weakness,"[""neck weakness""]",1
sym_00296,nightmares,"[""nightmares""]",1
sym_00297,nodal skin eruptions,"[""nodal skin eruptions""]",2
sym_00298,nose deformity,"[""nose deformity""]",1
sym_00299,nosebleed,"[""nosebleed""]",2
sym_00300,obesity,"[""obesity""]",2
sym_00301,obsessions and compulsions,"[""obsessions and compulsions""]",2
sym_00302,pain behind the eyes,"[""pain behind the eyes""]",2
sym_00303,pain during bowel movements,"[""pain during bowel movements""]",2
sym_00304,pain during intercourse,"[""pain during intercourse""]",2
sym_00305,pain during pregnancy,"[""pain during pregnancy""]",2
sym_00306,pain in anal region,"[""pain in anal region""]",2
sym_00307,pain in eye,"[""pain in eye""]",2
sym_00308,pain in gums,"[""pain in gums""]",2
sym_00309,pain in testicles,"[""pain in testicles""]",2
sym_00310,pain of the anus,"[""pain of the anus""]",2
sym_00311,pain or soreness of breast,"[""pain or soreness of breast""]",1
sym_00312,painful menstruation,"[""painful menstruation""]",2
sym_00313,painful sinuses,"[""painful sinuses""]",2
sym_00314,painful urination,"[""painful urination"", ""حرقان بول""]",3
sym_00315,painful walking,"[""painful walking""]",2
sym_00316,pallor,"[""pallor""]",1
sym_00317,palpitations,"[""palpitations""]",4
sym_00318,paralysis,"[""paralysis""]",1
sym_00319,paresthesia,"[""paresthesia""]",2
sym_00320,passage of gases,"[""passage of gases""]",2
sym_00321,patches in throat,"[""patches in throat""]",2
sym_00322,pelvic pain,"[""pelvic pain""]",2
sym_00323,pelvic pressure,"[""pelvic pressure""]",1
sym_00324,penile discharge,"[""penile discharge""]",1
sym_00325,penis pain,"[""penis pain""]",1
sym_00326,penis redness,"[""penis redness""]",1
sym_00327,peripheral edema,"[""peripheral edema""]",2
sym_00328,phlegm,"[""phlegm""]",2
sym_00329,plugged feeling in ear,"[""plugged feeling in ear""]",2
sym_00330,polyuria,"[""polyuria""]",3
sym_00331,poor circulation,"[""poor circulation""]",1
sym_00332,postpartum problems of the breast,"[""postpartum problems of the breast""]",1
sym_00333,posture problems,"[""posture problems""]",1
sym_00334,premature ejaculation,"[""premature ejaculation""]",1
sym_00335,premenstrual tension or irritability,"[""premenstrual tension or irritability""]",1
sym_00336,problems during pregnancy,"[""problems during pregnancy""]",2
sym_00337,problems with movement,"[""problems with movement""]",2
sym_00338,problems with orgasm,"[""problems with orgasm""]",1
sym_00339,problems with shape or size of breast,"[""problems with shape or size of breast""]",1
sym_00340,prognosis,"[""prognosis""]",1
sym_00341,prominent veins on calf,"[""prominent veins on calf""]",2
sym_00342,puffy face and eyes,"[""puffy face and eyes""]",2
sym_00343,pulling at ears,"[""pulling at ears""]",2
sym_00344,pupils unequal,"[""pupils unequal""]",1
sym_00345,pus draining from ear,"[""pus draining from ear""]",2
sym_00346,pus filled pimples,"[""pus filled pimples""]",2
sym_00347,pus in sputum,"[""pus in sputum""]",1
sym_00348,pus in urine,"[""pus in urine""]",1
sym_00349,receiving blood transfusion,"[""receiving blood transfusion""]",2
sym_00350,receiving unsterile injections,"[""receiving unsterile injections""]",2
sym_00351,recent pregnancy,"[""recent pregnancy""]",2
sym_00352,recent weight loss,"[""recent weight loss""]",1
sym_00353,rectal bleeding,"[""rectal bleeding""]",2
sym_00354,red sore around nose,"[""red sore around nose""]",2
sym_00355,red spots over body,"[""red spots over body""]",2
sym_00356,redness in ear,"[""redness in ear""]",2
sym_00357,redness in or around nose,"[""redness in or around nose""]",1
sym_00358,redness of eyes,"[""redness of eyes""]",2
sym_00359,regurgitation,"[""regurgitation""]",2
sym_00360,regurgitation 1,"[""regurgitation.1""]",2
sym_00361,restlessness,"[""restlessness""]",4
sym_00362,retention of urine,"[""retention of urine""]",3
sym_00363,rib pain,"[""rib pain""]",2
sym_00364,ringing in ear,"[""ringing in ear""]",2
sym_00365,rusty sputum,"[""rusty sputum""]",2
sym_00366,scanty menstrual flow,"[""scanty menstrual flow""]",1
sym_00367,scurring,"[""scurring""]",2
sym_00368,seizures,"[""seizures""]",3
sym_00369,severe abdominal pain,"[""severe abdominal pain""]",1
sym_00370,sharp abdominal pain,"[""sharp abdominal pain""]",2
sym_00371,sharp chest pain,"[""sharp chest pain""]",2
sym_00372,shivering,"[""shivering""]",2
sym_00373,shortness of breath,"[""breathlessness"", ""difficulty breathing"", ""shortness of breath"", ""ضيق تنفس"", ""نهجان""]",6
sym_00374,shoulder cramps or spasms,"[""shoulder cramps or spasms""]",1
sym_00375,shoulder lump or mass,"[""shoulder lump or mass""]",1
sym_00376,shoulder pain,"[""shoulder pain""]",2
sym_00377,shoulder stiffness or tightness,"[""shoulder stiffness or tightness""]",2
sym_00378,shoulder swelling,"[""shoulder swelling""]",1
sym_00379,shoulder weakness,"[""shoulder weakness""]",1
sym_00380,side pain,"[""side pain""]",2
sym_00381,silver like dusting,"[""silver like dusting""]",2
sym_00382,sinus congestion,"[""sinus congestion""]",2
sym_00383,sinus pressure,"[""sinus pressure""]",2
sym_00384,skin dryness peeling scaliness or roughness,"[""skin dryness, peeling, scaliness, or roughness""]",2
sym_00385,skin growth,"[""skin growth""]",2
sym_00386,skin irritation,"[""skin irritation""]",2
sym_00387,skin lesion,"[""skin lesion""]",2
sym_00388,skin moles,"[""skin moles""]",2
sym_00389,skin oiliness,"[""skin oiliness""]",1
sym_00390,skin on arm or hand looks infected,"[""skin on arm or hand looks infected""]",1
sym_00391,skin on head or neck looks infected,"[""skin on head or neck looks infected""]",1
sym_00392,skin on leg or foot looks infected,"[""skin on leg or foot looks infected""]",1
sym_00393,skin pain,"[""skin pain""]",1
sym_00394,skin peeling,"[""skin peeling""]",2
sym_00395,skin rash,"[""skin rash""]",4
sym_00396,skin swelling,"[""skin swelling""]",2
sym_00397,sleepiness,"[""sleepiness""]",2
sym_00398,sleepwalking,"[""sleepwalking""]",1
sym_00399,slurred speech,"[""slurred speech""]",2
sym_00400,slurring words,"[""slurring words""]",1
sym_00401,small dents in nails,"[""small dents in nails""]",2
sym_00402,smoking problems,"[""smoking problems""]",1
sym_00403,sneezing,"[""sneezing""]",2
sym_00404,sore in nose,"[""sore in nose""]",1
sym_00405,sore throat,"[""sore throat""]",2
sym_00406,spinning movements,"[""spinning movements""]",2
sym_00407,spots or clouds in vision,"[""spots or clouds in vision""]",2
sym_00408,spotting or bleeding during pregnancy,"[""spotting or bleeding during pregnancy""]",2
sym_00409,spotting urination,"[""spotting urination""]",2
sym_00410,stiff neck,"[""stiff neck""]",2
sym_00411,stiffness all over,"[""stiffness all over""]",1
sym_00412,stomach bleeding,"[""stomach bleeding""]",2
sym_00413,stomach bloating,"[""stomach bloating""]",2
sym_00414,stuttering or stammering,"[""stuttering or stammering""]",1
sym_00415,sunken eyes,"[""sunken eyes""]",2
sym_00416,suprapubic pain,"[""suprapubic pain""]",2
sym_00417,sweating,"[""sweating""]",4
sym_00418,swelled lymph nodes,"[""swelled lymph nodes""]",2
sym_00419,swelling joints,"[""swelling joints""]",2
sym_00420,swelling of scrotum,"[""swelling of scrotum""]",2
sym_00421,swelling of stomach,"[""swelling of stomach""]",2
sym_00422,swollen abdomen,"[""swollen abdomen""]",1
sym_00423,swollen blood vessels,"[""swollen blood vessels""]",2
sym_00424,swollen extremeties,"[""swollen extremeties""]",2
sym_00425,swollen eye,"[""swollen eye""]",2
sym_00426,swollen legs,"[""swollen legs""]",2
sym_00427,swollen lymph nodes,"[""swollen lymph nodes""]",1
sym_00428,swollen or red tonsils,"[""swollen or red tonsils""]",2
sym_00429,swollen tongue,"[""swollen tongue""]",1
sym_00430,symptoms of bladder,"[""symptoms of bladder""]",2
sym_00431,symptoms of eye,"[""symptoms of eye""]",2
sym_00432,symptoms of infants,"[""symptoms of infants""]",1
sym_00433,symptoms of prostate,"[""symptoms of prostate""]",2
sym_00434,symptoms of the face,"[""symptoms of the face""]",2
sym_00435,symptoms of the kidneys,"[""symptoms of the kidneys""]",2
sym_00436,symptoms of the scrotum and testes,"[""symptoms of the scrotum and testes""]",2
sym_00437,temper problems,"[""temper problems""]",2
sym_00438,thirst,"[""thirst""]",1
sym_00439,throat feels tight,"[""throat feels tight""]",1
sym_00440,throat irritation,"[""throat irritation""]",3
sym_00441,throat redness,"[""throat redness""]",1
sym_00442,throat swelling,"[""throat swelling""]",3
sym_00443,tongue bleeding,"[""tongue bleeding""]",1
sym_00444,tongue lesions,"[""tongue lesions""]",1
sym_00445,tongue pain,"[""tongue pain""]",1
sym_00446,too little hair,"[""too little hair""]",1
sym_00447,toothache,"[""toothache""]",2
sym_00448,toxic look typhos,"[""toxic look (typhos)""]",2
sym_00449,ulcers on tongue,"[""ulcers on tongue""]",2
sym_00450,underweight,"[""underweight""]",1
sym_00451,unpredictable menstruation,"[""unpredictable menstruation""]",2
sym_00452,unsteadiness,"[""unsteadiness""]",2
sym_00453,unusual color or odor to urine,"[""unusual color or odor to urine""]",2
sym_00454,unwanted hair,"[""unwanted hair""]",1
sym_00455,upper abdominal pain,"[""upper abdominal pain""]",2
sym_00456,uterine contractions,"[""uterine contractions""]",2
sym_00457,vaginal bleeding after menopause,"[""vaginal bleeding after menopause""]",1
sym_00458,vaginal discharge,"[""vaginal discharge""]",2
sym_00459,vaginal dryness,"[""vaginal dryness""]",1
sym_00460,vaginal itching,"[""vaginal itching""]",2
sym_00461,vaginal pain,"[""vaginal pain""]",2
sym_00462,vaginal redness,"[""vaginal redness""]",2
sym_00463,visual disturbances,"[""visual disturbances""]",2
sym_00464,vomiting,"[""vomiting"", ""ترجيع"", ""قيء""]",5
sym_00465,vomiting blood,"[""vomiting blood""]",3
sym_00466,vulvar irritation,"[""vulvar irritation""]",1
sym_00467,vulvar sore,"[""vulvar sore""]",1
sym_00468,warts,"[""warts""]",2
sym_00469,watering from eyes,"[""watering from eyes""]",2
sym_00470,weakness,"[""weakness""]",2
sym_00471,weakness in limbs,"[""weakness in limbs""]",2
sym_00472,weakness of one body side,"[""weakness of one body side""]",2
sym_00473,weight gain,"[""weight gain""]",4
sym_00474,weight loss,"[""weight loss""]",2
sym_00475,wheezing,"[""wheezing""]",2
sym_00476,white discharge from eye,"[""white discharge from eye""]",2
sym_00477,wrinkles on skin,"[""wrinkles on skin""]",1
sym_00478,wrist lump or mass,"[""wrist lump or mass""]",1
sym_00479,wrist pain,"[""wrist pain""]",2
sym_00480,wrist stiffness or tightness,"[""wrist stiffness or tightness""]",1
sym_00481,wrist swelling,"[""wrist swelling""]",2
sym_00482,wrist weakness,"[""wrist weakness""]",1
sym_00483,yellow crust ooze,"[""yellow crust ooze""]",2
sym_00484,yellow urine,"[""yellow urine""]",2
sym_00485,yellowing of eyes,"[""yellowing of eyes""]",2
sym_00486,yellowish skin,"[""yellowish skin""]",2
